Original Sentence,Spelling Error,Grammar Error
මම ගමට යමි.,මම ගට යමි.,මම ගමට යනවා.
ඔහු පාසලට ගියේය.,ඔහු පසලට ගියය.,ඔහු පාසලට ගිය.
අපි ගඟේ දිය නෑවෙමු.,අ ගඟේ දිය නෑවෙමු.,අපි ගඟේ දිය නෑවෙම.
ඔවුන් විභාගය ජයග්‍රහණය කළහ.,ඔවන විභාගය ජයග්‍හණය කළහ.,ඔවුන් විභාගය ජයග්‍රහණය කළමු.
ඔහු ගෙදරට ආවේය.,ඔහු ගෙදරට ආවේය.,ඔහු ගෙදරට ආවායය.
ගුරුවරයා පාඩම ඉගැන්වීය.,ගුරුවරයා පාඩම ගැන්වීය.,ගුරුවරයා පාඩම ඉගැන්වීමුමු.
මේ නගරය වර්ධනය වේ.,මේ නගරය වර්ධය වේ.,මේ නගරය වර්ධනය වේ.
මගේ මිතුරා මට උදව් කළේය.,මගෙ මිතුරා ම උදව් කළේය.,මගේ මිතුරා මට උදව් කළේය.
අපේ පාසල ප්‍රථම ස්ථානයට පැමිණියා.,අපේ පාසල ප්‍රථම ස්ථානයට පැමිණියා.,අපේ පාසල ප්‍රථම ස්ථානයට පැමිණියා.
ඔවුන් ව්‍යාපෘතිය සාර්ථකව නිම කළහ.,ඔවු ව්‍යාපෘතිය සාර්ථකව නිම කළහ.,ඔවුන් ව්‍යාපෘතිය සාර්ථකව නිම කළේය.
මේ පොත හොඳයි.,මේ පත හොඳයි.,මේ පොත හොඳ.
මම අද පාසලට යමි.,මම අද පාසලට යමි.,මම අද පාසලට යනව.
ගමන අවසානයේ අපි සතුටු වියෙමු.,ගමන අවසානය අපි සතටු වියෙමු.,ගමන අවසානයේ අපි සතුටු වියෙම.
ඔබගේ මිතුරාගේ නම කුමක්ද?,ඔබගේ මිතුගේ නම කුමක්ද?,ඔබගේ මිතුරාගේ නම කුමද?
ඔවුන් රැකියාව ආරම්භ කළහ.,ඔවුන රැකියාව ආරම්භ කළහ.,ඔවුන් රැකියාව ආරම්භ කළහ.
මම ගැටලුව පිළිබඳව විස්තර කළෙමි.,මම ගැටලව පිළිබඳව විස්තර කළෙමි.,මම ගැටලුව පිළිබඳව විස්තර කළෙම.
ගමන සාර්ථක විය.,ගමන සාරථක විය.,ගමන සාර්ථක විය.
අපිට නව ව්‍යාපෘතියක් ලැබුනා.,අපිට නව ව්‍යාපෘතිය ලැබුනා.,අපිට නව ව්‍යාපෘතියක් ලැබුනා.
මම ගෘහස්ත කාර්යය ඉක්මනින් නිම කළෙමි.,මම ගෘහස්ත කාර්යය ඉක්මනින් නම කළෙමි.,මම ගෘහස්ත කාර්යය ඉක්මනින් නිම කළෙමුමු.
ඔහුගේ පරීක්ෂණය සාර්ථක විය.,ඔහුගේ පරීක්ෂණය සාරථක විය.,ඔහුගේ පරීක්ෂණය සාර්ථක විය.
මගේ නම ලේඛනයේ සටහන් වේ.,මගෙ නම ලේඛනයේ ටහන් වේ.,මගේ නම ලේඛනයේ සටහන් වේ.
අපි ගමනේදී ගිගුම් සහිත වැසි දැක්කෙමු.,අපි ගමනේදී ගිගුම සහිත වැසි දැක්කෙමු.,අපි ගමනේදී ගිගුම් සහිත වැසි දැක්කෙයය.
ඔවුන්ගේ විශේෂණය හොඳින් සදහන් වේ.,ඔවුනගේ විශේෂය හොඳින් සහන් වේ.,ඔවුන්ගේ විශේෂණය හොඳින් සදහන් වේ.
මේ ගඟේ දිය ගලයි,මේ ගඟේ දිය ගලයි,මේ ගඟ දිය ගලයි
ඔවුන් විසින් ගෘහස්ත කාර්යය සාර්ථකව කළහ.,ඔවුන විසින් ගහස්ත කාර්යය සාර්ථකව කළහ.,ඔවුන් විසින් ගෘහස්ත කාර්යය සාර්ථකව කළමිමි.
